trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,grating.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
10,0,10,0,12.209831300016958,,12.196977300016442,12.209831300016958,13.209847400023136,13.209847400023136,13.209847400023136,13.379975900024874,up,1,0.16707039999892004,None,0,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
11,0,11,0,13.392985200014664,,13.382347800012212,13.392985200014664,14.393037500005448,14.393037500005448,14.393037500005448,14.494877500022994,down,1,0.09058990000630729,None,1,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
12,0,12,0,14.509293500013882,,14.497823900019284,14.509293500013882,15.509239000006346,15.509239000006346,15.509239000006346,16.62681430001976,down,0,1.1138497999927495,None,0,15.80935490000411,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
13,0,13,0,16.642093800008297,,16.62919220002368,16.642093800008297,17.642663500009803,17.642663500009803,17.642663500009803,17.661077099997783,down,1,0.009433700004592538,None,-2,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
14,0,14,0,17.675547200022265,,17.664147900009993,17.675547200022265,18.675473000010243,18.675473000010243,18.675473000010243,18.911818499997025,down,1,0.23334939999040216,None,3,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
15,0,15,0,18.925213000009535,,18.915015200007474,18.925213000009535,19.925428000016836,19.925428000016836,19.925428000016836,20.36092030000873,down,1,0.4213537000177894,None,3,20.225315000017872,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
16,0,16,0,20.3752890000178,,20.363942900003167,20.3752890000178,21.37536080001155,21.37536080001155,21.37536080001155,21.393819700024324,down,1,0.0060646999918390065,None,3,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
17,0,17,0,21.4086572000233,,21.39653410000028,21.4086572000233,22.408724500011886,22.408724500011886,22.408724500011886,22.61025310002151,down,0,0.19706950002000667,None,0,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
18,0,18,0,22.62496580000152,,22.612938700011,22.62496580000152,23.624947800009977,23.624947800009977,23.624947800009977,24.025735000002896,down,0,0.389780299999984,None,0,23.924994200002402,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
19,0,19,0,24.041507100017043,,24.027381500025513,24.041507100017043,25.041665199998533,25.041665199998533,25.041665199998533,25.392585900000995,down,0,0.3418762999936007,None,0,25.341454500012333,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
20,0,20,0,25.408070000004955,,25.395763600012287,25.408070000004955,26.408170900016557,26.408170900016557,26.408170900016557,26.42775060000713,down,1,0.01706070001819171,None,-5,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
21,0,21,0,26.441249299998162,,26.43022920002113,26.441249299998162,27.441256899997825,27.441256899997825,27.441256899997825,27.459496800001943,up,0,0.006147400010377169,None,3,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
22,0,22,0,27.47427360000438,,27.462064599996665,27.47427360000438,28.47438990001683,28.47438990001683,28.47438990001683,28.742468800017377,down,1,0.2640390999731608,None,2,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
23,0,23,0,28.7576138000004,,28.745769400004065,28.7576138000004,29.757652000000235,29.757652000000235,29.757652000000235,30.14273160000448,down,1,0.3689883000042755,None,-4,30.057672800001455,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
24,0,24,0,30.157425600016722,,30.14544650001335,30.157425600016722,31.15741800001706,31.15741800001706,31.15741800001706,31.3116030000092,down,1,0.15123719998518936,None,2,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
25,0,25,0,31.323677100008354,,31.314349699998274,31.323677100008354,32.3239000000176,32.3239000000176,32.3239000000176,32.575214400014374,down,0,0.2466636000026483,None,0,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
26,0,26,0,32.59055540000554,,32.5776623999991,32.59055540000554,33.590602900017984,33.590602900017984,33.590602900017984,33.82505390001461,down,1,0.2287699999869801,None,1,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
27,0,27,0,33.8403787999996,,33.827395300002536,33.8403787999996,34.84039389999816,34.84039389999816,34.84039389999816,34.974976600002265,down,0,0.11809509998420253,None,0,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
28,0,28,0,34.99009770000703,,34.977820700005395,34.99009770000703,35.99034170000232,35.99034170000232,35.99034170000232,36.041845400002785,down,1,0.04019890000927262,None,-2,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
